Game,Top_Positive_Words,Top_Negative_Words
FragPunk,"['game', 'fun', 'play', 'good', 'like', 'feel', 'card', 'shooter', 'great', 'free']","['game', 'beta', 'play', 'like', 'feel', 'currency', 'movement', 'bad', 'fun', 'different']"
Lossless Scaling,"['game', 'fps', 'frame', 'work', 'good', 'software', 'like', 'generation', 'great', 'play']","['game', 'fps', 'frame', 'work', 'use', 'play', 'lossless', 'bad', 'scaling', 'app']"
PAYDAY 2,"['game', 'good', 'fun', 'payday', 'love', 'good game', 'play', 'like', 'need', 'bag']","['game', 'dlc', 'violence', 'need', 'fuck', 'time', 'suck', 'game suck', 'dlcs', 'dislike']"
Cookie Clicker,"['cookie', 'game', 'click', 'click cookie', 'good', 'play', 'fun', 'clicker', 'cookie cookie', 'like']","['game', 'play', 'cookie', 'play game', 'buy', 'life', 'hour', 'like', 'slog', 'good']"
The Witcher 3: Wild Hunt,"['game', 'play', 'good', 'story', 'great', 'world', 'witcher', 'time', 'quest', 'like']","['game', 'play', 'like', 'good', 'combat', 'feel', 'try', 'feel like', 'control', 've']"
Brawlhalla,"['good', 'fun', 'yes', 'diamond', 'diamond quit', 'quit playing', 'quit', 'playing', 'game', 'goofy ah']","['try straight', 'insanely price', 'fp offer', 'fp', 'force buy', 'force', 'ea debut', 'ea', 'debut kind', 'debut']"
Dying Light,"['game', 'good', 'zombie', 'play', 'fun', 'story', 'zombie game', 'good zombie', 'parkour', 'great']","['game', 'play', 'play game', 'run', 'crash', 'bad', 'story', 'try', 'trash', 'stupid']"
"Warhammer 40,000: Space Marine 2","['game', 'fun', 'great', 'good', 'play', 'campaign', 'story', 'like', 'space', 'feel']","['game', 'play', 'update', 'like', 'fun', 'crash', 'fix', 'time', 'campaign', 'issue']"
BONEWORKS,"['game', 'good', 'fun', 'bone', 'work', 'like', 'bone work', 'story', 'vr', 'great']","['son', 'run', 'laggy', 'bad', 'run bad', 'waayy laggy', 'waayy', 'game', 'puzzle', 'play']"
Age of Empires II: Definitive Edition,"['game', 'good', 'classic', 'fun', 'good game', 'play', 'rts', 'love', 'time', 'great']","['game', 'play', 'classic', 'unit', 'like', 'hard', 'bug', 'internet', 'dlc', 'connection']"
The Survivalists,"['game', 'good', 'monkey', 'fun', 'good game', 'like', 'fun game', 'play', 'wow', 'gg']","['game', 'play', 'like', 'monkey', 'save', 'fun', 'tell', 'long', 'leik', 'monekys']"
ELDEN RING,"['game', 'play', 'good', 'boss', 'great', 'fun', 'world', 'time', 'like', 'elden']",[]
Elite Dangerous,"['game', 'space', 'good', 'play', 'great', 'like', 'fun', 'time', 'sim', 'elite']","['game', 'time', 'ship', 'try', 'play', 'like', 'mission', 'feel', 'fun', 'space']"
Exanima,"['game', 'fun', 'combat', 'yes', 'good', 'like', 'phillip', 'update', 'play', 'feel']","['game', 'year', 'bad', 'devs', 'ea', 'year ea', 'early access', 'access', 'early', 'tech']"
Barotrauma,"['good', 'game', 'fun', 'play', 'friend', 'yes', 'barotrauma', 'submarine', 'great', 'scary']","['husk', 'game', 'good', 'play', 'kys', 'qwop', 'qwop social', 'social', 'social capital', 'capital']"
Cyberpunk 2077,"['game', 'play', 'story', 'good', 'great', 'like', 'amazing', 'time', 'character', 'feel']",[]
Valheim,"['game', 'play', 'good', 'fun', 'great', 'like', 'survival', 'friend', 'world', 'building']","['game', 'time', 'play', 'biome', 'like', 'boss', 'new', 'hour', 'update', 'good']"
Stardew Valley,"['game', 'play', 'fun', 'love', 'good', 'like', 'great', 'time', 'hour', 'farming']","['bug', 'incubator bug', 'patch', 'steamdeck', 'incubator', 'steamdeck incubator', 'buggy steamdeck', 'buggy', 'bug patch', 'game']"
Phasmophobia,"['game', 'fun', 'play', 'friend', 'ghost', 'good', 'scary', 'play friend', 'great', 'game play']","['game', 'like', 'update', 'play', 'new', 'fix', 'work', 'ghost', 'community', 'lobby']"
Tom Clancy's Rainbow Six® Siege,"['game', 'play', 'good', 'fun', 'like', 'good game', 'great', 'time', 'friend', 'recommend']","['game', 'play', 'bad', 'ubisoft', 'like', 'play game', 'player', 'buy', 'time', 'want']"
100% Orange Juice,"['game', 'fun', 'party', 'friend', 'juice', 'mario', 'mario party', 'kio', 'play', 'like']","['play', 'instead', 'luck', 'annoying luck', 'base', 'chutes', 'chutes ladders', 'instead lot', 'ladders', 'ladders instead']"
Space Engineers,"['good', 'game', 'good game', 'fun', 'great', 'space', 'play', 'build', 'great game', 'love']","['game', 'fun', 'play', 'wasd', 'nice', 'like', 'dlc', 'bad', 'time', 'want']"
Red Dead Redemption 2,"['game', 'story', 'good', 'play', 'great', 'world', 'amazing', 'good game', 'time', 'graphic']",[]
Kingdom Come: Deliverance II,"['game', 'play', 'story', 'good', 'like', 'feel', 'great', 'kcd', 'rpg', 'time']","['game', 'like', 'feel', 'kcd', 'quest', 'time', 'medieval', 'run', 'guard', 'literally']"
Dead by Daylight,"['game', 'play', 'fun', 'killer', 'good', 'like', 'love', 'friend', 'time', 'survivor']","['game', 'play', 'killer', 'fun', 'survivor', 'player', 'time', 'like', 'perk', 'good']"
Unknown Game,"['game', 'good', 'fun', 'anime', 'soul', 'like', 'play', 'nice', 'code', 'story']","['game', 'clunky', 'like', 'play', 'enemy', 'design', 'good', 'feel', 'crap', 'complet crap']"
Contra Anniversary Collection,"['game', 'play', 'contra', 'nice', 'nice game', 'collection', 'nes', 'game collection', 'nostalgia', 'konami']","['buy', 'keymapping', 'controls buy', 'controls', 'awful', 'awful controls', 'keymapping awful', 'game', 'sale emulate', 'feature']"
Star Wars Outlaws,"['game', 'star', 'fun', 'good', 'wars', 'star wars', 'like', 'play', 'story', 'great']","['game', 'play', 'ubisoft', 'crash', 'like', 'time', 'bad', 'load', 'feel', 'try']"
Thief,"['game', 'fun', 'good', 'thief', 'want', 'like', 'steamhappy', 'wadscfsgbnhb', 'cool', 'story']","['game', 'bore', 'feel', 'clunky', 'nightmare', 'clunky nightmare', 'nightmare game', 'play', 'open', 'story']"
Split Fiction,"['game', 'play', 'fun', 'good', 'story', 'amazing', 'coop', 'experience', 'great', 'gameplay']","['game', 'story', 'world', 'play', 'character', 'worth', 'feel', 'like', 'datum', 'help']"
Euro Truck Simulator 2,"['game', 'good', 'truck', 'fun', 'play', 'drive', 'good game', 'like', 'great', 'relax']","['game', 'play', 'time', 'update', 'truck', 'pay', 'worth', 'like', 'change', 'problem']"
Darkest Dungeon® II,"['game', 'good', 'dd', 'fun', 'like', 'great', 'dungeon', 'play', 'new', 'darkest']","['game', 'bad', 'like', 'run', 'boss', 'time', 'play', 'dd', 'character', 'try']"
Far Cry® 5,"['game', 'good', 'fun', 'story', 'play', 'far', 'good game', 'great', 'like', 'farcry']","['game', 'play', 'ubisoft', 'bad', 'buy', 'story', 'like', 'bug', 'time', 'good']"
DARK SOULS™ II,"['game', 'soul', 'dark', 'souls', 'dark souls', 'good', 'play', 'peak soul', 'peak', 'ds']","['like', 'game', 'bpre', 'garbage', 'pointless', 'scholar', 'shit', 'shit ass', 'ass', 'play']"
X-Morph: Defense,"['game', 'good', 'tower', 'good game', 'great game', 'great', 'defense', 'yes', 'tower defense', 'play']","['screen', 'look', 'good boring', 'look good', 'quickly', 'good', 'boring', 'boring quickly', 'game', 'set']"
Satisfactory,"['game', 'factory', 'play', 'fun', 'like', 'love', 'build', 'good', 'time', 'great']","['game', 'play', 'like', 'hour', 'bug', 'crash', 'build', 'work', 'thing', 'time']"
DiRT Rally,"['game', 'rally', 'good', 'nice', 'rally game', 'old', 'car', 'dirt', 'driving good', 'driving']",[]
The Sims™ 4,"['good', 'game', 'fun', 'love', 'sim', 'play', 'like', 'good game', 'sims', 'great']","['game', 'dlc', 'sims', 'sim', 'play', 'buy', 'ea', 'pack', 'want', 'mod']"
Battlefield 4™,"['good', 'game', 'battlefield', 'good game', 'yes', 'great', 'play', 'nice', 'love', 'good battlefield']","['game', 'server', 'punkbuster', 'play', 'kick', 'bug', 'multiplayer', 'ea', 'fix', 'minute']"
Box Cat Bash,"['fun', 'play', 'love', 'love bough', 'game', 'game love', 'experience ve', 'experience', 'gaming', 'gaming experience']",[]
Rust,"['game', 'fun', 'play', 'good', 'rust', 'server', 'good game', 'hour', 'time', 'friend']","['game', 'play', 'load', 'time', 'like', 'ban', 'server', 'hour', 'people', 'rust']"
